injection_position,path,path_length,strength,start,end
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→GPi→STN→FF→ml→MRN,10,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.026827, 0.033024, 0.042609, 0.028225, 0.017291]",ACAd5,MRN
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→VM→mtt→PH,9,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.052806, 0.026705, 0.026503]",ACAd5,PH
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→VM→PR→RE→Xi,10,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.052806, 0.03419, 0.024691, 0.022417]",ACAd5,Xi
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→VM→PH→mtg,9,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.052806, 0.026503, 0.006613]",ACAd5,mtg
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→ccb→CP→int→cpd→ml→PG,9,"[0.237125, 0.146949, 0.087078, 0.034561, 0.038065, 0.061962, 0.044774, 0.041212, 0.028225, 0.027833]",ACAd5,PG
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→AV→CL,8,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.043335, 0.078566]",ACAd5,CL
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→GPi→STN→FF→ml→SPFp→MRN→RPF,12,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.026827, 0.033024, 0.042609, 0.028225, 0.038523, 0.017291, 0.041519]",ACAd5,RPF
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→GPi→STN→FF→ml→SPFp→MRN→SCiw,12,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.026827, 0.033024, 0.042609, 0.028225, 0.038523, 0.017291, 0.034051]",ACAd5,SCiw
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→GPi→STN→FF→ml→SPFp→MRN→SCiw→SCig,13,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.026827, 0.033024, 0.042609, 0.028225, 0.038523, 0.017291, 0.034051, 0.027633]",ACAd5,SCig
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→RT→AMv→AMd→IAD→MD→PVT,12,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.045922, 0.077404, 0.085689, 0.061194, 0.057572, 0.004462]",ACAd5,PVT
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→AV→LD→LP→CL→LH→PRC,12,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.043335, 0.049988, 0.04614, 0.078566, 0.020393, 0.028755]",ACAd5,PRC
ACAd5,ACAd5→ACAd6a→PL6a→PL6b→cing→CP→int→cpd→ml→PRNr,9,"[0.237125, 0.146949, 0.050481, 0.025067, 0.034561, 0.061962, 0.044774, 0.041212, 0.028225, 0.019853]",ACAd5,PRNr
ACAd5,ACAd5→ACAd6a→ACAd6b→cing→CP→int→RT→AV→CL→MD→fr,10,"[0.237125, 0.146949, 0.087078, 0.034561, 0.061962, 0.044774, 0.045922, 0.043335, 0.078566, 0.057572, 0.014913]",ACAd5,fr
