start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
312782652,1104,312782652→484682524→484682520→971→466→603→310→436→181→1104,9,36,VISpor6b→ar→or→fp→alv→fi→SF→fx→RE→AMv,VISpor6b
312782652,258,312782652→484682520→971→466→603→258,5,16,VISpor6b→or→fp→alv→fi→LSr,VISpor6b
312782652,262,312782652→484682524→484682520→971→466→603→310→436→181→1104→262,10,36,VISpor6b→ar→or→fp→alv→fi→SF→fx→RE→AMv→RT,VISpor6b
312782652,1096,312782652→484682524→484682520→971→466→603→310→436→262→1104→1096,10,35,VISpor6b→ar→or→fp→alv→fi→SF→fx→RT→AMv→AMd,VISpor6b
312782652,564,312782652→484682524→484682520→971→466→603→310→564,7,28,VISpor6b→ar→or→fp→alv→fi→SF→MS,VISpor6b
312782652,64,312782652→484682524→484682520→971→466→603→310→436→181→15→1113→64,11,36,VISpor6b→ar→or→fp→alv→fi→SF→fx→RE→PT→IAD→AD,VISpor6b
312782652,255,312782652→484682524→484682520→971→466→603→310→436→262→1104→255,10,33,VISpor6b→ar→or→fp→alv→fi→SF→fx→RT→AMv→AV,VISpor6b
312782652,155,312782652→579→484682520→971→466→603→310→436→181→15→1113→255→64→155,13,39,VISpor6b→ec→or→fp→alv→fi→SF→fx→RE→PT→IAD→AV→AD→LD,VISpor6b
312782652,802,312782652→484682524→484682520→971→466→603→310→436→181→15→1113→255→64→802,13,39,VISpor6b→ar→or→fp→alv→fi→SF→fx→RE→PT→IAD→AV→AD→sm,VISpor6b
28,452,28→312782652→579→971→466→603→310→581→436→452,9,22,ENTl6a→VISpor6b→ec→fp→alv→fi→SF→TRS→fx→MEPO,ENTl6a
28,908,28→312782652→579→971→466→603→310→581→436→908,9,25,ENTl6a→VISpor6b→ec→fp→alv→fi→SF→TRS→fx→act,ENTl6a
484682470,356,484682470→466→603→310→258→159→342→194→356,8,25,ProS→alv→fi→SF→LSr→AON→SI→LHA→PST,ProS
